opcode_id,occurrences
0x083,"event_0016.txt: Welcome. \BRK | I've never seen you around\r\nhere before. Are you \r\na tourist? \BRK || event_0036.txt: Bad chicken! \r\nDon't run away again!\BRK || event_0046.txt: Welcome. \BRK | I don't think I've seen you\r\nbefore. You must be\r\n\xFF!, right? \BRK || event_0057.txt: I've never seen you \r\nbefore...Are you a \r\ntourist or something? \BRK || event_0066.txt: Hello. You're not from \r\naround here, are you?\BRK || event_0093.txt:  || event_0105.txt:  || event_0105.txt:  || event_0105.txt:  || event_0105.txt:  || event_0105.txt:  || event_0105.txt:  || event_0105.txt:  || event_0108.txt:  || event_0108.txt:  || event_0108.txt:  || event_0108.txt:  || event_0150.txt:  || event_0176.txt:  || event_0179.txt:  || event_0179.txt:  || event_0179.txt:  || event_0271.txt:  || event_0271.txt:  || event_0272.txt:  || event_0272.txt:  || event_0292.txt:  || event_0358.txt:  || event_0358.txt:  || event_0358.txt:  || event_0358.txt:  || event_0370.txt:  || event_0370.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0371.txt:  || event_0372.txt:  || event_0372.txt:  || event_0372.txt:  || event_0372.txt:  || event_0372.txt:  || event_0373.txt:  || event_0373.txt:  || event_0373.txt:  || event_0373.txt:  || event_0373.txt:  || event_0374.txt:  || event_0374.txt:  || event_0374.txt:  || event_0374.txt:  || event_0374.txt:  || event_0374.txt:  || event_0375.txt:  || event_0375.txt:  || event_0375.txt:  || event_0375.txt:  || event_0375.txt:  || event_0375.txt:  || event_0378.txt:  || event_0378.txt:  || event_0404.txt:  || event_0404.txt:  || event_0409.txt:  || event_0409.txt:  || event_0523.txt:  || event_0523.txt:  || event_0523.txt:  || event_0523.txt:  || event_0523.txt:  || event_0525.txt:  || event_0527.txt:  || event_0528.txt:  || event_0528.txt:  || event_0757.txt:  || event_0758.txt:  || event_0759.txt:  || event_0768.txt:  || event_0807.txt:  || event_0808.txt:  || event_0880.txt:  || event_0881.txt:  || event_0882.txt:  || event_0883.txt:  || event_0884.txt:  || event_0900.txt:  || event_0901.txt:  || event_0902.txt:  || event_0903.txt:  || event_0905.txt:  || event_0920.txt:  || event_0921.txt:  || event_0922.txt:  || event_0923.txt:  || event_0924.txt:  || event_0938.txt:  || event_0939.txt:  || event_0940.txt:  || event_0942.txt:  || event_0943.txt:  || event_0958.txt:  || event_0959.txt:  || event_0960.txt:  || event_0961.txt:  || event_0962.txt:  || event_0977.txt:  || event_0977.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0992.txt: So you're the new guy at\r\nthe farm, eh?\BRK\WAIT_CLICK\xFF!'s not a \r\nbad name, I suppose...\BRK\WAIT_CLICKMy name's Rick. I live\r\nhere with my mom and \r\nsister, Popuri.\BRK || event_0993.txt: Hello, my name is Popuri.\r\nWhat's your's?\BRK\WAIT_CLICKNice to meet you!\BRK || event_0994.txt: Hi, I haven't seen you\r\naround here before!\BRK\WAIT_CLICKAh...I know, you're \r\n\xFF!, right? \r\nThomas mentioned you.\BRK\WAIT_CLICKI'm Lillia. Very nice\r\nto meet you!\BRK || event_0996.txt: .........Hi....\BRK | So you're the new guy at\r\nthat farm, huh?\BRK\WAIT_CLICKMy name?\r\nIt's Cliff. Nice to\r\nmeet you.\BRK || event_0997.txt: Hey, how are you!\r\nMy name is Zack, and I'm\r\nin charge of shipping \BRK\r\naround here.\BRK\WAIT_CLICKI'll come to pick up \r\nwhatever you have to ship\r\neveryday except holidays.\BRK || event_0998.txt: Hello, there. Who are you?\BRK\WAIT_CLICK...Oh, you're the new \r\nperson at the farm that\r\nthe Mayor was mentioning.\BRK\WAIT_CLICKI'm the Doctor of this \r\nvillage. Nice to meet you.\BRK || event_0999.txt: Hello...\r\nYour name is \xFF!?\BRK\WAIT_CLICKMine is Staid, budum.\r\nWelcome, budum.\BRK || event_1000.txt: ...........................\r\nYour name's \xFF!?\BRK\WAIT_CLICKMine is Timid...budum...\BRK || event_1001.txt: Nice to meet you!\r\nYour name is \xFF!?\BRK\WAIT_CLICKMine is Nappy. \r\nHow do you do, budum.\BRK || event_1002.txt: Hello, stranger!\BRK\WAIT_CLICKHow are you? My name is\r\nBold, budum!\BRK || event_1003.txt: Hello...\r\nYour name is \xFF!?\BRK\WAIT_CLICKMine is Chef, budum.\r\nWelcome, budum.\BRK || event_1004.txt: I haven't seen you \r\nbefore, budum. \BRK\WAIT_CLICKYou're \xFF!?\r\nI'm Aqua. Nice to meet you.\BRK || event_1005.txt: Err...Hello, budum...\r\nYou're \xFF!?\BRK\WAIT_CLICKMy name's Hoggy. \r\nIt's a pleasure, budum.\BRK || event_1006.txt: Ah, so you are\r\n\xFF!?\BRK\WAIT_CLICKMy name is Ellen.\r\nMuch obliged...\BRK | My legs? They became\r\nbad when I got sick years\r\nago, so I can't move \BRK\r\naround very much.\BRK || event_1007.txt: H-Hi...\r\nUmm...Can I be of service?\BRK | Oh, so you've come to say\r\nyou've just moved in?\BRK\WAIT_CLICKMy name is Jeff.\r\nPleasure to meet you!\BRK || event_1008.txt: I heard that someone new \r\nhad taken over the farm.\BRK\WAIT_CLICKYou name is \r\n\xFF!, huh?\BRK\WAIT_CLICKMine's Karen. \BRK || event_1009.txt: Who are you?\r\nOh, I know, the new lad at \r\nthe farm Thomas was \BRK\r\nmentioning...\BRK\WAIT_CLICKMy name is Sasha, and I \r\nrun the Supermarket.\BRK || event_1010.txt: Well I haven't seen you \r\naround these parts before!\BRK\WAIT_CLICKOh, you're the new lad up\r\nat the farm, eh? \r\nMy name's Doug, and I\BRK\r\nrun this here Inn.\BRK || event_1011.txt: Sorry, do I know you?\r\nAh, you're the new guy at\r\nthe farm, huh?\BRK\WAIT_CLICKAnd I thought you were \r\na guest!\BRK\WAIT_CLICKYour name is \xFF!?\r\nI'm Ann.\BRK || event_1013.txt: Hey there? Are you a \r\ntourist? No, you're new in\r\ntown?\BRK\WAIT_CLICKThis town is beautiful, and\r\nthe people are nice, so \r\nI bet you'll like it here. \BRK\WAIT_CLICKMe? Oh, sorry, the name' || event_1014.txt: Ah, are you the new\r\nguy at that farm Thomas \r\ntold me about?\BRK\WAIT_CLICKMy name's Mary.\r\nNice to meet you.\BRK || event_1015.txt: Now, you're a new face\r\naround here...Oh, I know.\r\nyou're that new boy at \BRK\r\nthe farm!\BRK\WAIT_CLICKMy name is Anna, and it's\r\na pleasure to meet you!\BRK || event_1016.txt: I've set up shop here, \r\nand I've got great stuff!\BRK\WAIT_CLICKMy name is Won.\BRK || event_1018.txt: Now, I haven't seen \r\nyour face around here... \BRK\WAIT_CLICKAre you the new owner \r\nof that farm? \BRK\WAIT_CLICKI guess I should introduce \r\nmyself. My name is \r\nElli. Nice to meet you! \BR || event_1019.txt: You're not from around\r\nhere, are you? \BRK\WAIT_CLICKMy name? It's Stu.\r\nHey, you have cows on\r\nyour farm, right? \BRK\WAIT_CLICKCan I come pet one?\BRK || event_1020.txt: Hmm? Who are you?\r\nOh, you're the new lad at\r\nthe farm, are you?\BRK\WAIT_CLICKMy name's Duke. Pleased to\r\nmake your acquaintance.\BRK || event_1021.txt:  || event_1023.txt: Hello, there! You must be \r\n\xFF!.\BRK\WAIT_CLICKMy name's Harris, and I'm\r\nthe constable of this town.\BRK\WAIT_CLICKIt's very safe and peaceful\r\nhere, so you've nothing to\r\nworry about!\BRK || event_1024.txt: Are you \xFF!?\BRK\WAIT_CLICKYes, I've heard about you.\r\nFrom Thomas, of course. \r\nI'm Carter. I'm delighted \BRK\r\nto finally meet you.\BRK || event_1025.txt: Hi...\r\nAre you new around here...?\BRK || event_1026.txt: I don't think I've seen you\r\naround here before. \BRK\WAIT_CLICKOh, you're at the farm, \r\nare you? Welcome to the \r\nboonies.\BRK\WAIT_CLICKThe name's Gray. \BRK || event_1027.txt: I've never seen your face\r\naround these parts before.\BRK\WAIT_CLICKYou're new at the farm, \r\nyou say? That's tough for \r\none man, but you can do it\BRK\r\nif you try. \BRK\WAIT_CLICKI'm Saibara || event_1028.txt: Who are you again?\r\nOh, you're at the farm, eh?\BRK\WAIT_CLICKI'm Gotz, the woodcutter\r\naround these parts. \BRK\WAIT_CLICKIf you ever want to expand\r\nyour house, just call me!\BRK || event_1029.txt: Where did you come from?\r\nI've never seen you before.\BRK\WAIT_CLICKOh! You're at that farm,\r\nare you?\BRK\WAIT_CLICKMy name is May.\r\nLet's be friends.\BRK || event_1030.txt: What's this? A new face \r\nin town? How intriguing!\BRK\WAIT_CLICKThe name is Barley. \r\nHow do you do. \BRK || event_1067.txt:  || event_1068.txt:  || event_1069.txt:  || event_1070.txt:  || event_1071.txt:  || event_1072.txt:  || event_1073.txt:  || event_1074.txt:  || event_1075.txt:  || event_1076.txt:  || event_1077.txt:  || event_1078.txt:  || event_1082.txt:  || event_1083.txt:  || event_1084.txt:  || event_1085.txt:  || event_1086.txt:  || event_1087.txt:  || event_1088.txt:  || event_1089.txt:  || event_1090.txt:  || event_1091.txt:  || event_1092.txt:  || event_1093.txt:  || event_1094.txt:  || event_1095.txt:  || event_1096.txt:  || event_1097.txt:  || event_1101.txt:  || event_1102.txt:  || event_1103.txt:  || event_1104.txt:  || event_1105.txt:  || event_1106.txt:  || event_1107.txt:  || event_1108.txt:  || event_1109.txt:  || event_1110.txt:  || event_1111.txt:  || event_1112.txt:  || event_1113.txt:  || event_1115.txt:  || event_1116.txt:  || event_1117.txt:  || event_1118.txt:  || event_1119.txt:  || event_1120.txt:  || event_1121.txt:  || event_1122.txt:  || event_1123.txt:  || event_1124.txt:  || event_1125.txt:  || event_1126.txt:  || event_1127.txt:  || event_1132.txt:  || event_1133.txt:  || event_1134.txt:  || event_1135.txt:  || event_1136.txt:  || event_1137.txt:  || event_1139.txt:  || event_1140.txt:  || event_1141.txt:  || event_1142.txt:  || event_1143.txt:  || event_1144.txt:  || event_1147.txt:  || event_1148.txt:  || event_1149.txt:  || event_1150.txt:  || event_1151.txt:  || event_1152.txt:  || event_1153.txt:  || event_1154.txt:  || event_1155.txt:  || event_1156.txt:  || event_1157.txt:  || event_1158.txt:  || event_1159.txt:  || event_1160.txt:  || event_1166.txt:  || event_1167.txt:  || event_1168.txt:  || event_1169.txt:  || event_1170.txt:  || event_1171.txt:  || event_1172.txt:  || event_1173.txt:  || event_1174.txt:  || event_1175.txt:  || event_1176.txt:  || event_1178.txt:  || event_1179.txt:  || event_1180.txt:  || event_1181.txt:  || event_1182.txt:  || event_1183.txt:  || event_1184.txt:  || event_1185.txt:  || event_1186.txt:  || event_1187.txt:  || event_1188.txt:  || event_1193.txt:  || event_1194.txt:  || event_1195.txt:  || event_1196.txt:  || event_1197.txt:  || event_1198.txt:  || event_1199.txt:  || event_1200.txt:  || event_1201.txt:  || event_1202.txt:  || event_1206.txt:  || event_1207.txt:  || event_1208.txt:  || event_1209.txt:  || event_1210.txt:  || event_1211.txt:  || event_1212.txt:  || event_1213.txt:  || event_1214.txt:  || event_1219.txt:  || event_1220.txt:  || event_1221.txt:  || event_1222.txt:  || event_1223.txt:  || event_1224.txt:  || event_1225.txt:  || event_1226.txt:  || event_1227.txt:  || event_1228.txt:  || event_1229.txt:  || event_1230.txt:  || event_1231.txt:  || event_1232.txt:  || event_1233.txt:  || event_1234.txt:  || event_1235.txt:  || event_1236.txt:  || event_1237.txt:  || event_1238.txt:  || event_1239.txt:  || event_1240.txt:  || event_1248.txt:  || event_1249.txt:  || event_1250.txt:  || event_1251.txt:  || event_1252.txt:  || event_1253.txt:  || event_1254.txt:  || event_1255.txt:  || event_1256.txt:  || event_1257.txt:  || event_1258.txt:  || event_1259.txt:  || event_1260.txt:  || event_1261.txt:  || event_1262.txt:  || event_1263.txt:  || event_1267.txt:  || event_1268.txt:  || event_1269.txt:  || event_1270.txt:  || event_1271.txt:  || event_1272.txt:  || event_1273.txt:  || event_1274.txt:  || event_1275.txt:  || event_1276.txt:  || event_1278.txt:  || event_1279.txt:  || event_1280.txt:  || event_1281.txt:  || event_1282.txt:  || event_1283.txt:  || event_1284.txt:  || event_1285.txt:  || event_1286.txt:  || event_1287.txt:  || event_1290.txt:  || event_1291.txt:  || event_1292.txt:  || event_1310.txt:  || event_1311.txt:  || event_1312.txt:  || event_1313.txt:  || event_1314.txt:  || event_1315.txt:  || event_1316.txt:  || event_1317.txt:  || event_1320.txt:  || event_1321.txt:  || event_1322.txt:  || event_1323.txt:  || event_1324.txt:  || event_1325.txt:  || event_1326.txt: "
0x08E,event_0468.txt: Welcome!\r\n\BRK || event_0480.txt: Welcome!\r\n\BRK || event_0481.txt: Welcome!\r\n\BRK
0x090,event_0467.txt: Welcome!\r\n\BRK | Box of Oranges\BRK
0x091,"event_0488.txt: OK, what would you like?\r\n\BRK | Counter\BRK"
0x092,"event_0487.txt: What would you like \r\ntoday? I always like to \r\ntalk, as long as I'm \BRK\r\nnot working.\BRK | Counters\BRK"
0x093,event_0482.txt: How are you feeling?\r\nNow there...Which\r\nmedicine would you like?\BRK | Counter\BRK
0x094,event_0484.txt: Welcome!\r\nAll foods can't be \r\ntaken out of this shop.\BRK || event_0486.txt: Hey there...\r\nNeed anything to eat?\BRK
0x095,event_0466.txt: Oh...hello.\r\nIs there something I can\r\nbe helping you with?\BRK | Counter\BRK || event_0489.txt: Are you looking for\r\nsomething to buy?\BRK | Counter\BRK
0x096,event_0485.txt: Welcome.\r\nShopping today?\r\nWhat would you like to buy?\BRK | Counter\BRK
0x099,event_0465.txt: Welcome!\BRK | Box of Oranges\BRK
0x09A,event_0477.txt: What do you want to wrap?\BRK | I suggest wrapping\r\nyour present. Bye now.\BRK
0x09C,event_0344.txt: 
0x09D,event_0344.txt: 
0x09E,event_0224.txt:  || event_0224.txt:  || event_0345.txt:  || event_0426.txt:  || event_0534.txt: 
0x09F,event_0226.txt:  || event_0348.txt:  || event_0357.txt:  || event_0428.txt:  || event_0537.txt: 
0x0A0,event_0349.txt:  || event_0352.txt: 
0x0A1,event_0349.txt: You haven't made anything.\BRK || event_0353.txt: 
0x0A2,event_0571.txt: 
0x0A5,event_0974.txt: 
0x0A7,"event_0867.txt:  || event_1146.txt: Will you select which \r\nChicken you want to compete?\BRK || event_1164.txt: Will you select a Cow, then?\BRK\WAIT_CLICKIt has to be adult Cow that\r\ngives Milk. It can't be \r\nsick or pregnant, though. \BRK || event_1265.txt: Will you select which Sheep?\r\nRemember, it has to be \r\nadult, and can't be sick, \BRK\r\npregnant, or shorn. \BRK"
0x0A9,event_0991.txt: You can't go outside today.\BRK
0x0AB,event_0034.txt:  || event_0044.txt:  || event_0055.txt:  || event_0064.txt:  || event_0078.txt:  || event_0848.txt: 
0x0AC,event_0737.txt:  || event_0737.txt: 
0x0AD,event_0352.txt:  || event_0357.txt:  || event_0357.txt: 
0x0AE,event_0353.txt:  || event_0353.txt:  || event_0357.txt: Ouch!...\BRK
0x0AF,event_0352.txt:  || event_0352.txt:  || event_0353.txt: 
0x0B0,event_0351.txt: Record Player\BRK || event_0351.txt: Record Player\BRK
0x0B2,event_0351.txt: Record Player\BRK
0x0B3,event_0531.txt: It's hot!...\BRK
0x0B4,event_0351.txt:  || event_0351.txt: 
0x0B6,event_0359.txt: Vase\BRK || event_0982.txt: 
0x0B7,event_0091.txt:  || event_0168.txt:  || event_0529.txt:  || event_0531.txt:  || event_0531.txt: 
0x0B9,"event_0218.txt: It's already full, so you \r\ncan't incubate any more.\BRK || event_0219.txt: It's already full, so you \r\ncan't incubate any more.\BRK || event_1061.txt: After picking an Egg up, \r\nface the Incubator and \r\npress the A Button. \BRK"
0x0BA,event_0209.txt:  || event_0210.txt:  || event_0211.txt:  || event_0212.txt:  || event_0213.txt:  || event_0214.txt:  || event_0215.txt:  || event_0216.txt: 
0x0BC,event_0984.txt:  || event_0984.txt: 
0x0BD,"event_0218.txt:  || event_0218.txt:  || event_0219.txt:  || event_0219.txt: It's already full, so you \r\ncan't incubate any more.\BRK || event_0984.txt: "
0x0BE,event_0984.txt:  || event_0984.txt:  || event_0984.txt: It should be born soon...\BRK || event_0984.txt: 
0x0C0,"event_0464.txt:  || event_1060.txt: If your Cows become sick, \r\nyou can heal them with \r\nAnimal Medicine. \BRK\WAIT_CLICKThis may be purchased at\r\nthe Poultry Farm or Yodel\r\nFarm. \BRK || event_1061.txt: If your Chickens become\r\nsick, you can heal them with\r\nAnimal Medicine. \BRK\WAIT_CLICKThis may be purchased at\r\nthe Poultry Farm or Yodel\r\nFarm. \BRK || event_1062.txt: If your Sheep become sick, \r\nyou can heal them with \r\nAnimal Medicine. \BRK\WAIT_CLICKThis may be purchased at\r\nthe Poultry Farm or Yodel\r\nFarm. \BRK || event_1063.txt: To ship harvested crops, \r\npress the A Button in front\r\nof the Shipment box. \BRK"
0x0C1,event_0442.txt:  || event_0443.txt:  || event_0444.txt:  || event_0445.txt:  || event_0446.txt:  || event_0447.txt:  || event_0448.txt:  || event_0449.txt:  || event_0450.txt:  || event_0451.txt:  || event_0452.txt:  || event_0453.txt:  || event_0454.txt:  || event_0455.txt:  || event_0456.txt:  || event_0457.txt:  || event_0459.txt:  || event_0460.txt:  || event_0984.txt:  || event_0984.txt:  || event_0984.txt:  || event_0984.txt: 
0x0C2,event_0984.txt:  || event_0984.txt: 
0x0C3,event_0984.txt: 
0x0C4,"event_0592.txt: Be sure and go look at it\r\nlater, OK?\BRK || event_0596.txt: Be sure and go look at it\r\nlater, OK?\BRK || event_0600.txt: Be sure and go look at it\r\nlater, OK?\BRK || event_0604.txt: Be sure and go look at it\r\nlater, OK?\BRK || event_0608.txt: Be sure and go look at it\r\nlater, OK?\BRK || event_0852.txt: "
0x0C5,"event_0571.txt: Your link level has now\r\nreached maximum strength!\r\nAs a reward, I'm now \BRK\r\ngranting you a Cottage on\r\nMineral Beach. \BRK\WAIT_CLICKGo and see how nice it is!\BRK | I see. \BRK\WAIT_CLICK"
0x0C9,event_0479.txt: Thanks very much.\BRK || event_0479.txt: Thanks very much.\BRK
0x0CC,"event_0999.txt: I'll get started \r\ntomorrow, budum.\BRK || event_0999.txt: Now I'm great at\r\ntaking care of the animals!\r\nJust leave it to me, budum!\BRK || event_1000.txt: I'll get started \r\ntomorrow, budum.\BRK || event_1000.txt: Now I'm great at\r\ntaking care of the animals!\r\nJust leave it to me, budum!\BRK || event_1001.txt: I'll get started \r\ntomorrow, budum.\BRK || event_1001.txt: Now I'm great at\r\ntaking care of the animals!\r\nJust leave it to me, budum!\BRK || event_1002.txt: I'll get started \r\ntomorrow, budum.\BRK || event_1002.txt: Now I'm great at\r\ntaking care of the animals!\r\nJust leave it to me, budum!\BRK || event_1003.txt: I'll get started \r\ntomorrow, budum.\BRK || event_1003.txt: Now I'm great at\r\ntaking care of the animals!\r\nJust leave it to me, budum!\BRK || event_1004.txt: I'll get started \r\ntomorrow, budum.\BRK || event_1004.txt: Now I'm great at\r\ntaking care of the animals!\r\nJust leave it to me, budum!\BRK || event_1005.txt: I'll get started \r\ntomorrow, budum.\BRK || event_1005.txt: Now I'm great at\r\ntaking care of the animals!\r\nJust leave it to me, budum!\BRK"
